,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
0,Avery Bradley,Boston Celtics,0,PG,25,175,180,Texas,7730337.0,21-25
1,Jae Crowder,Boston Celtics,99,SF,25,165,235,Marquette,6796117.0,21-25
2,John Holland,Boston Celtics,30,SG,27,153,205,Boston University,0.0,26-30
3,R.J. Hunter,Boston Celtics,28,SG,22,173,185,Georgia State,1148640.0,21-25
4,Jonas Jerebko,Boston Celtics,8,PF,29,159,231,No College,5000000.0,26-30
5,Amir Johnson,Boston Celtics,90,PF,29,157,240,No College,12000000.0,26-30
6,Jordan Mickey,Boston Celtics,55,PF,21,164,235,LSU,1170960.0,21-25
7,Kelly Olynyk,Boston Celtics,41,C,25,176,238,Gonzaga,2165160.0,21-25
8,Terry Rozier,Boston Celtics,12,PG,22,153,190,Louisville,1824360.0,21-25
9,Marcus Smart,Boston Celtics,36,PG,22,169,220,Oklahoma State,3431040.0,21-25
10,Jared Sullinger,Boston Celtics,7,C,24,179,260,Ohio State,2569260.0,21-25
11,Isaiah Thomas,Boston Celtics,4,PG,27,152,185,Washington,6912869.0,26-30
12,Evan Turner,Boston Celtics,11,SG,27,173,220,Ohio State,3425510.0,26-30
13,James Young,Boston Celtics,13,SG,20,151,215,Kentucky,1749840.0,15-20
14,Tyler Zeller,Boston Celtics,44,C,26,170,253,North Carolina,2616975.0,26-30
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,176,216,No College,3425510.0,26-30
16,Markel Brown,Brooklyn Nets,22,SG,24,165,190,Oklahoma State,845059.0,21-25
17,Wayne Ellington,Brooklyn Nets,21,SG,28,159,200,North Carolina,1500000.0,26-30
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,176,220,Arizona,1335480.0,21-25
19,Jarrett Jack,Brooklyn Nets,2,PG,32,165,200,Georgia Tech,6300000.0,31-35
20,Sergey Karasev,Brooklyn Nets,10,SG,22,179,208,No College,1599840.0,21-25
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,153,219,Cincinnati,134215.0,26-30
22,Shane Larkin,Brooklyn Nets,0,PG,23,180,175,Miami (FL),1500000.0,21-25
23,Brook Lopez,Brooklyn Nets,11,C,28,159,275,Stanford,19689000.0,26-30
24,Chris McCullough,Brooklyn Nets,1,PF,21,152,200,Syracuse,1140240.0,21-25
25,Willie Reed,Brooklyn Nets,33,PF,26,156,220,Saint Louis,947276.0,26-30
26,Thomas Robinson,Brooklyn Nets,41,PF,25,175,237,Kansas,981348.0,21-25
27,Henry Sims,Brooklyn Nets,14,C,26,152,248,Georgetown,947276.0,26-30
